run_file,scenario,algorithm,vus,metric,value
result2.txt,stress,FN-DSA-Precomputed-512,10,token_ok_s,12.63
result2.txt,stress,FN-DSA-Precomputed-512,30,access_avg,0.707
result2.txt,stress,FN-DSA-Precomputed-512,30,access_p95,1.53
result2.txt,stress,FN-DSA-Precomputed-512,30,refresh_avg,0.954
result2.txt,stress,FN-DSA-Precomputed-512,30,refresh_p95,2.529
result2.txt,stress,FN-DSA-Precomputed-512,30,token_ok_s,12.87
result2.txt,stress,FN-DSA-Precomputed-512,50,access_avg,0.629
result2.txt,stress,FN-DSA-Precomputed-512,50,access_p95,1.503
result2.txt,stress,FN-DSA-Precomputed-512,50,refresh_avg,0.915
result2.txt,stress,FN-DSA-Precomputed-512,50,refresh_p95,2.631
result2.txt,stress,FN-DSA-Precomputed-512,50,token_ok_s,13.93
result2.txt,secondary,FN-DSA-Precomputed-512,10,login_avg,387.404
result2.txt,secondary,FN-DSA-Precomputed-512,10,login_p95,729.963
result2.txt,secondary,FN-DSA-Precomputed-512,10,refresh_avg,311.391
result2.txt,secondary,FN-DSA-Precomputed-512,10,refresh_p95,692.179
result2.txt,secondary,FN-DSA-Precomputed-512,10,e2e_avg,50.655
result2.txt,secondary,FN-DSA-Precomputed-512,10,e2e_p95,266.804
result2.txt,secondary,FN-DSA-Precomputed-512,10,rps,12.63
result2.txt,secondary,FN-DSA-Precomputed-512,30,login_avg,1241.554
result2.txt,secondary,FN-DSA-Precomputed-512,30,login_p95,2578.824
result2.txt,secondary,FN-DSA-Precomputed-512,30,refresh_avg,1067.968
result2.txt,secondary,FN-DSA-Precomputed-512,30,refresh_p95,2307.704
result2.txt,secondary,FN-DSA-Precomputed-512,30,e2e_avg,22.467
result2.txt,secondary,FN-DSA-Precomputed-512,30,e2e_p95,62.153
result2.txt,secondary,FN-DSA-Precomputed-512,30,rps,12.87
result2.txt,secondary,FN-DSA-Precomputed-512,50,login_avg,1911.04
result2.txt,secondary,FN-DSA-Precomputed-512,50,login_p95,3620.834
result2.txt,secondary,FN-DSA-Precomputed-512,50,refresh_avg,1757.055
result2.txt,secondary,FN-DSA-Precomputed-512,50,refresh_p95,3572.883
result2.txt,secondary,FN-DSA-Precomputed-512,50,e2e_avg,30.346
result2.txt,secondary,FN-DSA-Precomputed-512,50,e2e_p95,191.485
result2.txt,secondary,FN-DSA-Precomputed-512,50,rps,13.93
result2.txt,isolated,FN-DSA-512,,pure_avg,0.438
result2.txt,isolated,FN-DSA-512,,pure_p95,0.604
result2.txt,isolated,FN-DSA-512,,access_avg,0.393
result2.txt,isolated,FN-DSA-512,,access_p95,0.519
result2.txt,isolated,FN-DSA-512,,refresh_avg,0.397
result2.txt,isolated,FN-DSA-512,,refresh_p95,0.525
result2.txt,isolated,FN-DSA-512,,e2e_avg,0.807
result2.txt,isolated,FN-DSA-512,,cpu_per_tok,0.45
result2.txt,isolated,FN-DSA-512,,rss_kb,43228.4
result2.txt,stress,FN-DSA-512,10,access_avg,0.731
result2.txt,stress,FN-DSA-512,10,access_p95,1.68
result2.txt,stress,FN-DSA-512,10,refresh_avg,0.886
result2.txt,stress,FN-DSA-512,10,refresh_p95,2.467
result2.txt,stress,FN-DSA-512,10,token_ok_s,13.53
result2.txt,stress,FN-DSA-512,30,access_avg,0.772
result2.txt,stress,FN-DSA-512,30,access_p95,1.659
result2.txt,stress,FN-DSA-512,30,refresh_avg,0.943
result2.txt,stress,FN-DSA-512,30,refresh_p95,2.569
result2.txt,stress,FN-DSA-512,30,token_ok_s,13.67
result2.txt,stress,FN-DSA-512,50,access_avg,0.997
result2.txt,stress,FN-DSA-512,50,access_p95,2.566
result2.txt,stress,FN-DSA-512,50,refresh_avg,0.822
result2.txt,stress,FN-DSA-512,50,refresh_p95,2.461
result2.txt,stress,FN-DSA-512,50,token_ok_s,14.37
result2.txt,secondary,FN-DSA-512,10,login_avg,375.104
result2.txt,secondary,FN-DSA-512,10,login_p95,657.77
result2.txt,secondary,FN-DSA-512,10,refresh_avg,302.353
result2.txt,secondary,FN-DSA-512,10,refresh_p95,649.502
result2.txt,secondary,FN-DSA-512,10,e2e_avg,15.732
result2.txt,secondary,FN-DSA-512,10,e2e_p95,28.045
result2.txt,secondary,FN-DSA-512,10,rps,13.53
result2.txt,secondary,FN-DSA-512,30,login_avg,1111.767
result2.txt,secondary,FN-DSA-512,30,login_p95,2219.975
